私募基金管理人名称,登记时间,登记编号
敦和资产管理有限公司,2014-03-17,P1000501
歌斐诺宝（上海）资产管理有限公司,2014-03-17,P1000548
歌斐资产管理有限公司,2014-03-17,P1000637
平安道远投资管理（上海）有限公司,2014-03-17,P1000182
上海合晟资产管理股份有限公司,2014-03-17,P1000450
上海景林资产管理有限公司,2014-03-17,P1000267
上海重阳投资管理股份有限公司,2014-03-17,P1000265
深圳东方港湾投资管理股份有限公司,2014-03-17,P1000320
友山基金管理有限公司,2014-03-17,P1000551
北京乐瑞资产管理有限公司,2014-03-25,P1000270
淡水泉（北京）投资管理有限公司,2014-03-25,P1000294
宁波宁聚资产管理中心（有限合伙）,2014-03-25,P1000398
暖流资产管理股份有限公司,2014-04-01,P1000363
上海映雪投资管理中心（有限合伙）,2014-04-09,P1000707
西藏源乐晟资产管理有限公司,2014-04-09,P1000713
盈峰资本管理有限公司,2014-04-09,P1000306
建信（北京）投资基金管理有限责任公司,2014-04-22,P1001087
上海泊通投资管理有限公司,2014-11-26,P1005371
北京磐沣投资管理合伙企业（有限合伙）,2018-04-12,P1067975
上海少薮派投资管理有限公司,2014-04-22,P1001058
福建滚雪球投资管理有限公司,2014-12-24,P1005610
上汽颀臻（上海）资产管理有限公司,2018-05-14,P1068136
深圳市凯丰投资管理有限公司,2014-04-22,P1000482
明毅博厚投资有限公司,2014-12-24,P1005542
上海鸣石投资管理有限公司,2014-12-24,P1005659
天津礼仁投资管理合伙企业（有限合伙）,2018-07-05,P1068517
上海守朴资产管理有限公司,2018-09-12,P1068966
北京淳信资本管理有限公司,2014-04-23,P1001267
深圳市思道科投资有限公司,2015-01-22,P1006687
海宁拾贝投资管理合伙企业（有限合伙）,2014-04-23,P1001236
上海保银投资管理有限公司,2015-01-28,P1006879
上海重阳战略投资有限公司,2014-04-23,P1001235
上海宽远资产管理有限公司,2015-01-29,P1007125
上海理成资产管理有限公司,2014-04-29,P1000399
上海高毅资产管理合伙企业（有限合伙）,2014-05-20,P1002305
深圳市瑞丰汇邦资产管理有限公司,2015-01-29,P1007213
九坤投资（北京）有限公司,2014-06-04,P1003313
深圳市林园投资管理有限责任公司,2014-06-04,P1002894
南京双安资产管理有限公司,2015-02-04,P1007860
上海明K投资管理有限公司,2014-07-22,P1004150
上海铂绅投资中心（有限合伙）,2015-02-11,P1008205
恒天中岩投资管理有限公司,2014-08-28,P1004550
上海金锝资产管理有限公司,2015-02-11,P1008275
宁波灵均投资管理合伙企业（有限合伙）,2014-08-28,P1004526
永安国富资产管理有限公司,2015-02-11,P1008224
上海平安阖鼎投资管理有限责任公司,2014-10-13,P1004746
深圳市平安德成投资有限公司,2015-03-19,P1009428
泛海投资基金管理有限公司,2015-05-28,P1014542
昌都市凯丰投资管理有限公司,2015-06-29,P1016484
和谐浩数投资管理（北京）有限公司,2015-07-09,P1017267
中国对外经济贸易信托有限公司,2015-07-17,P1018106
上海朴B投资管理有限公司,2015-07-30,P1019747
浙江九章资产管理有限公司,2015-08-06,P1020148
宁波拾贝投资管理合伙企业（有限合伙）,2015-08-13,P1020598
上海迎水投资管理有限公司,2015-09-02,P1022432
深圳市金汇荣盛财富管理有限公司,2015-09-02,P1022079
北京千为投资管理有限公司,2015-09-18,P1023038
上海锐天投资管理有限公司,2015-10-08,P1024169
宁波幻方量化投资管理合伙企业（有限合伙）,2016-06-28,P1032021
上海盘京投资管理中心（有限合伙）,2016-10-19,P1034296
晟视天下资产管理有限公司,2017-02-14,P1061351
致诚卓远（珠海）投资管理合伙企业（有限合伙）,2017-10-25,P1065479
上海煜德投资管理中心（有限合伙）,2017-11-06,P1065676
上海宁泉资产管理有限公司,2018-03-27,P1067764
